Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),P/B Ratio,ROE %,Debt/Eq %
MATR.TO,Risky,7.98,17.35,Energy,1.3,3.22,5.53,7.41,1.872,1.55,0.49,0.64,3.66,80.14
TCL-A.TO,Fortress,22.72,11.14,Consumer Cyclical,2.48,10.13,11.54,8.21,1.292,6.08,1.9,0.99,8.94,42.46
